unitid,offering_highest_level,offering_highest_degree,offering_grad,inst_size,hbcu,medical_degree,tribal_college,land_grant,sector,inst_control,fips,inst_affiliation,oncampus_housing,calendar_system,study_abroad,dual_credit,ap_credit,employment_services,placement_services,oncampus_daycare,disability_indicator,disability_percentage,cont_prof_prog_offered,occupational_prog_offered,acceptance_rate,tuition_fees_ft
170967,6.555555555555555,22.22222222222222,0.7777777777777778,1.7857142857142858,0.0,0.0,0.0,0.0,2.0,2.0,26.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3888888888888889,0.0,1.0,7.079084249084248,0.0,0.0,0.6650506202766291,13917.96875
170976,9.0,10.944444444444445,1.0,5.0,0.0,1.0,0.0,0.0,1.0,1.0,26.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,5.333333333333333,0.0,0.0,0.3826517326073447,21556.10185185185
171012,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,26.0,3.0,0.0,6.444444444444445,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,1.0,7.079084249084248,0.0,1.0,0.8230088495575221,7900.0
171100,9.0,11.0,1.0,5.0,0.0,1.0,0.0,1.0,1.0,1.0,26.0,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,1.0,0.9444444444444444,0.7777777777777778,0.9,4.0,0.0,0.0,0.707082510143402,16473.50925925926
171128,9.0,11.11111111111111,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,26.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,6.75,0.8333333333333334,0.0,0.793584557882341,14177.277777777777
171137,8.11111111111111,15.555555555555555,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,26.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1111111111111111,1.0,7.079084249084248,0.0,0.0,0.6596737388280677,12226.342592592593
171146,8.333333333333334,14.555555555555555,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,26.0,1.0,0.6111111111111112,1.0,1.0,1.0,1.0,1.0,0.0,0.8888888888888888,1.0,7.079084249084248,0.5555555555555556,0.0,0.748062015503876,10115.87037037037
171155,3.0,40.0,0.0,2.0714285714285716,0.0,0.0,0.0,0.0,4.0,1.0,26.0,1.0,0.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.05555555555555555,1.0,7.079084249084248,0.0,1.0,0.7104120276160687,4718.814814814815
171225,3.111111111111111,40.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,26.0,1.0,0.0,1.0,0.8888888888888888,1.0,1.0,1.0,1.0,0.7222222222222222,0.0,5.5,0.0,1.0,0.7104120276160687,3879.0
171234,3.8333333333333335,40.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,26.0,1.0,0.0,1.0,0.2222222222222222,1.0,0.8888888888888888,1.0,0.7777777777777778,0.0,1.0,7.079084249084248,0.0,1.0,0.7104120276160687,4699.685185185185
171298,5.866666666666666,30.0,0.8666666666666667,2.1818181818181817,0.0,0.0,0.0,0.0,2.0,2.0,26.0,3.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,7.079084249084248,0.7857142857142857,1.0,0.7104120276160687,7227.692307692308
